image_id, annotation_id, instance_id, split     , background, class_name  , object_type, source_image                                                   , source_counting_mask                                           , x   , y   , width, height, crop_x, crop_y, crop_width, crop_height, review_status , selected_method, used_single_method_fallback, n_methods_nonempty, mean_pairwise_iou , mean_component_score, confidence        , mask_area, mask_area_ratio_to_box, mask_rectangularity, full_box_like, otsu_component_score, otsu_threshold    , otsu_nonempty, adaptive_component_score, adaptive_threshold, adaptive_nonempty, adaptive_component_area, adaptive_component_area_ratio, adaptive_component_overlap_inside, adaptive_component_box_coverage, adaptive_component_center_distance, adaptive_component_bbox_iou, adaptive_component_touches_crop, sauvola_component_score, sauvola_threshold , sauvola_nonempty, sauvola_component_area, sauvola_component_area_ratio, sauvola_component_overlap_inside, sauvola_component_box_coverage, sauvola_component_center_distance, sauvola_component_bbox_iou, sauvola_component_touches_crop, otsu_component_area, otsu_component_area_ratio, otsu_component_overlap_inside, otsu_component_box_coverage, otsu_component_center_distance, otsu_component_bbox_iou, otsu_component_touches_crop
    1008, 15_02        ,          15, test      , bright    , P.aeruginosa, other      , preprocessed_intensity_sigma040/local_flatfield/bright/1008.png, processed_plate_strategy_b_circle/counting_mask/bright/1008.png,  453, 1663,   105,    104,    437,   1647,        137,         136, needs_review  , consensus      , False                      ,                  3, 0.0002754820936639,   0.5379578891952808, 0.4652795744108947,         0,     0.0               ,  0.0               , False        ,   0.4957370671101531, 0.357421875       , True         ,       0.5151022886310094, 0.1292065531015396, True             ,                    53.0,            0.0048534798534798,                1.0               ,              0.0048534798534798,                 0.5095877161491278,          0.0166666666666666,                             0.0,      0.6030343118446797, 0.1085631251335144, True            ,                 2789.0,           0.2554029304029304,               0.8501254930082467,             0.2171245421245421,                0.0469141106175857,         0.6480327576998398,                            1.0,                26.0,        0.0023809523809523,            1.0               ,          0.0023809523809523,             0.6305066658070803,      0.0057692307692307,                         0.0
    1008, 98_01        ,          98, test      , bright    , P.aeruginosa, other      , preprocessed_intensity_sigma040/local_flatfield/bright/1008.png, processed_plate_strategy_b_circle/counting_mask/bright/1008.png,  887,  117,    87,     86,    874,    104,        113,         112, needs_review  , consensus      , False                      ,                  3, 0.0043383947939262,   0.5215780422231909, 0.4601496550671505,        23,     0.0030740443731622,  0.6388888888888888, False        ,   0.4685179539627068, 0.326171875       , True         ,       0.5178458315747163, 0.1471347510814666, True             ,                   103.0,            0.0137663726276396,                1.0               ,              0.0137663726276396,                 0.5409158176220495,          0.0260625501202886,                             0.0,      0.5783703411321496, 0.1225118264555931, True            ,                 2151.0,           0.2874899759422614,               0.8210134821013482,             0.2360331462175889,                0.1363215037591106,         0.435             ,                            1.0,                16.0,        0.0021384656508954,            1.0               ,          0.0021384656508954,             0.825901393474196 ,      0.0032076984763432,                         0.0
    1008, 11_02        ,          11, test      , bright    , P.aeruginosa, other      , preprocessed_intensity_sigma040/local_flatfield/bright/1008.png, processed_plate_strategy_b_circle/counting_mask/bright/1008.png,  873, 1753,   224,    223,    839,   1719,        292,         291, needs_review  , otsu           , True                       ,                  3, 0.0               ,   0.5468437684985822, 0.4687375073994329,        51,     0.0010209801409352,  0.8947368421052632, False        ,   0.564775660760247 , 0.341796875       , True         ,       0.550886608332109 , 0.1296170949935913, True             ,                    16.0,            0.0003203074951953,                1.0               ,              0.0003203074951953,                 0.2142340555670787,          0.000480461242793 ,                             0.0,      0.5248690364033907, 0.1074898689985275, True            ,                  343.0,           0.0068665919282511,               1.0               ,             0.0068665919282511,                0.4470242342264398,         0.0147541639974375,                            0.0,                51.0,        0.0010209801409352,            1.0               ,          0.0010209801409352,             0.1169383029082011,      0.0011410954516335,                         0.0
    1002, 41           ,          41, train     , bright    , E.coli      , other      , preprocessed_intensity_sigma040/local_flatfield/bright/1002.png, processed_plate_strategy_b_circle/counting_mask/bright/1002.png,  847,  962,    83,     82,    835,    950,        107,         106, needs_review  , consensus      , False                      ,                  3, 0.3046053675728922,   0.5850779703965091, 0.5906430668091159,        67,     0.0098442550690567,  0.8271604938271605, False        ,   0.5554280952843801, 0.349609375       , True         ,       0.5563415908567186, 0.1963055878877639, True             ,                    67.0,            0.0098442550690567,                1.0               ,              0.0098442550690567,                 0.2303173628735444,          0.0119012635909491,                             0.0,      0.6434642250484286, 0.1641861051321029, True            ,                 4454.0,           0.6544225683220688,               0.837449483610238 ,             0.5480458419042021,                0.4115784252882308,         0.6765062231523296,                            1.0,                59.0,        0.0086688216279753,            1.0               ,          0.0086688216279753,             0.2311119845260799,      0.0119012635909491,                         0.0
    1008, 76_01        ,          76, test      , bright    , P.aeruginosa, other      , preprocessed_intensity_sigma040/local_flatfield/bright/1008.png, processed_plate_strategy_b_circle/counting_mask/bright/1008.png, 1416,  758,   204,    202,   1385,    727,        266,         264, needs_review  , consensus      , False                      ,                  3, 0.0005447131696081,   0.5252317127602949, 0.4602833347134808,        70,     0.0016986992816928,  0.0707070707070707, False        ,   0.5179160050431414, 0.093803621828556 , True         ,       0.5604001410943161, 0.0970949009060859, True             ,                    62.0,            0.0015045622209279,                1.0               ,              0.0015045622209279,                 0.153078735454555 ,          0.0036400698893418,                             0.0,      0.497378992143427 , 0.0778764337301254, True            ,                70217.0,           1.703965249466123 ,               0.6100516968825214,             1.0395068918656571,                0.0068728976475355,         0.5868079289131921,                            1.0,                 8.0,        0.0001941370607649,            1.0               ,          0.0001941370607649,             0.453947800845823 ,      0.0003882741215298,                         0.0
    1008, 70_02        ,          70, test      , bright    , P.aeruginosa, other      , preprocessed_intensity_sigma040/local_flatfield/bright/1008.png, processed_plate_strategy_b_circle/counting_mask/bright/1008.png, 1101,  671,    95,     94,   1087,    657,        123,         122, needs_review  , consensus      , False                      ,                  3, 0.2136314246468622,   0.646861864515448 , 0.583515744432581 ,        71,     0.0079507278835386,  0.7888888888888889, False        ,   0.5618021981362818, 0.458984375       , True         ,       0.5638013587572804, 0.1673474460840225, True             ,                    71.0,            0.0079507278835386,                1.0               ,              0.0079507278835386,                 0.1651439381498794,          0.0100783874580067,                             0.0,      0.8149820366527817, 0.1418859809637069, True            ,                 2302.0,           0.2577827547592385,               0.9956559513466552,             0.2566629339305711,                0.0403097115080307,         0.6581798483206934,                            0.0,                42.0,        0.0047032474804031,            1.0               ,          0.0047032474804031,             0.1607375957875713,      0.0062709966405375,                         0.0
    1002, 73           ,          73, train     , bright    , E.coli      , other      , preprocessed_intensity_sigma040/local_flatfield/bright/1002.png, processed_plate_strategy_b_circle/counting_mask/bright/1002.png, 1769, 1128,   160,    160,   1745,   1104,        208,         208, needs_review  , consensus      , False                      ,                  3, 0.0032804445337082,   0.6258594479709881, 0.5014919347751932,        98,     0.003828125       ,  0.4454545454545454, False        ,   0.5781629255744377, 0.501953125       , True         ,       0.5591878443400762, 0.2247247397899627, True             ,                    76.0,            0.00296875        ,                1.0               ,              0.00296875        ,                 0.1694198705526852,          0.00390625        ,                             0.0,      0.7402275739984503, 0.1893774569034576, True            ,                10866.0,           0.424453125       ,               0.917540953432726 ,             0.389453125       ,                0.0061669427958505,         0.5699481865284974,                            1.0,                22.0,        0.000859375       ,            1.0               ,          0.000859375       ,             0.0193932365521318,      0.00234375        ,                         0.0
    1008, 21_02        ,          21, test      , bright    , P.aeruginosa, other      , preprocessed_intensity_sigma040/local_flatfield/bright/1008.png, processed_plate_strategy_b_circle/counting_mask/bright/1008.png,  759, 1272,   186,    185,    731,   1244,        242,         241, needs_review  , consensus      , False                      ,                  3, 0.2730015082956259,   0.542165941722128 , 0.5624169045923202,       181,     0.0052600988084859,  0.2900641025641026, False        ,   0.5145674590199926, 0.494140625       , True         ,       0.5965204114517794, 0.1069934293627739, True             ,                 11845.0,            0.3442313281022958,                0.8644997889404812,              0.2975879104911363,                 0.4840794474689968,          0.5456572182537877,                             1.0,      0.5154099546946117, 0.0880280658602714, True            ,                  221.0,           0.0064225515838419,               1.0               ,             0.0064225515838419,                0.5173259883350421,         0.0196163905841325,                            0.0,               181.0,        0.0052600988084859,            1.0               ,          0.0052600988084859,             0.516586967722728 ,      0.0181342632955536,                         0.0
    1008, 61_02        ,          61, test      , bright    , P.aeruginosa, other      , preprocessed_intensity_sigma040/local_flatfield/bright/1008.png, processed_plate_strategy_b_circle/counting_mask/bright/1008.png, 1482,  324,   115,    115,   1465,    307,        149,         149, needs_review  , consensus      , False                      ,                  3, 0.2969696969696969,   0.5755893782411249, 0.5841751452358439,       294,     0.0222306238185255,  0.328125          , False        ,   0.5756258816302469, 0.408203125       , True         ,       0.5736681303711526, 0.1834713369607925, True             ,                   294.0,            0.0222306238185255,                1.0               ,              0.0222306238185255,                 0.2065185489569325,          0.067750472589792 ,                             0.0,      0.5774741227219752, 0.154354453086853 , True            ,                  330.0,           0.0249527410207939,               1.0               ,             0.0249527410207939,                0.1938956959420142,         0.069867674858223 ,                            0.0,               183.0,        0.0138374291115311,            1.0               ,          0.0138374291115311,             0.2564356759147156,      0.2132325141776937,                         0.0
    1008, 63_02        ,          63, test      , bright    , P.aeruginosa, other      , preprocessed_intensity_sigma040/local_flatfield/bright/1008.png, processed_plate_strategy_b_circle/counting_mask/bright/1008.png, 1462,  278,   105,    104,   1446,    262,        137,         136, needs_review  , consensus      , False                      ,                  3, 0.0543032786885245,   0.5216751780499408, 0.4776762187609599,       318,     0.0291208791208791,  0.093064091308165 , False        ,   0.5475499793760936, 0.419921875       , True         ,       0.4957749136085013, 0.1904598176479339, True             ,                   102.0,            0.0093406593406593,                1.0               ,              0.0093406593406593,                 0.6727772948240512,          0.0164835164835164,                             0.0,      0.5217006411652274, 0.1622225791215896, True            ,                 2372.0,           0.2172161172161172,               0.8199831365935919,             0.1781135531135531,                0.3471537883736869,         0.6122828784119106,                            1.0,               335.0,        0.0306776556776556,            0.9552238805970148,          0.0293040293040293,             0.4987838856557113,      0.3051102648126826,                         0.0
